ASV,stat,p-value,adjust pvalue,OA
ASV21980,0.240545212,0.001,0.018126543,Low
ASV21972,0.14945597,0.008,0.088816635,Low
ASV21679,0.126218442,0.036,0.273870466,Low
ASV21527,0.143940321,0.03,0.241025992,Low
ASV21512,0.148459393,0.045,0.324674447,Low
ASV21433,0.163519804,0.027,0.227179083,Low
ASV21384,0.144791813,0.014,0.142499133,Low
ASV21346,0.118781481,0.03,0.241025992,Low
ASV2133,0.245731213,0.001,0.018126543,Low
ASV21316,0.188006355,0.002,0.031074074,Low
ASV21211,0.243029022,0.001,0.018126543,Low
ASV21154,0.24519978,0.001,0.018126543,Low
ASV21067,0.211703719,0.001,0.018126543,Low
ASV21062,0.226972085,0.001,0.018126543,Low
ASV21033,0.136145857,0.034,0.263085639,Low
ASV21012,0.136005685,0.037,0.280027062,Low
ASV2100,0.192357909,0.006,0.069916667,Low
ASV20956,0.13281782,0.034,0.263085639,Low
ASV20918,0.301967465,0.001,0.018126543,Low
ASV20644,0.230987253,0.001,0.018126543,Low
ASV20631,0.198056007,0.002,0.031074074,Low
ASV20589,0.15091066,0.01,0.107761468,Low
ASV20564,0.136701571,0.022,0.201255452,Low
ASV20508,0.168613043,0.003,0.041652482,Low
ASV20394,0.151114779,0.008,0.088816635,Low
ASV20348,0.220585872,0.001,0.018126543,Low
ASV20335,0.233421075,0.001,0.018126543,Low
ASV20303,0.135077518,0.041,0.30136796,Low
ASV20261,0.201010491,0.003,0.041652482,Low
ASV20253,0.262608836,0.001,0.018126543,Low
ASV2024,0.125051351,0.041,0.30136796,Low
ASV20228,0.245449233,0.001,0.018126543,Low
ASV20200,0.132257326,0.039,0.290668782,Low
ASV20177,0.141041728,0.03,0.241025992,Low
ASV20176,0.12290287,0.029,0.238205594,Low
ASV20167,0.125382609,0.03,0.241025992,Low
ASV20135,0.265148389,0.001,0.018126543,Low
ASV20094,0.157443496,0.001,0.018126543,Low
ASV20071,0.210169042,0.002,0.031074074,Low
ASV20023,0.183649732,0.003,0.041652482,Low
ASV2000,0.199836328,0.001,0.018126543,Low
ASV19914,0.222946138,0.001,0.018126543,Low
ASV19582,0.139596488,0.028,0.232265537,Low
ASV195,0.208995419,0.001,0.018126543,Low
ASV19460,0.161093711,0.011,0.115983842,Low
ASV19434,0.264078414,0.001,0.018126543,Low
ASV19360,0.149542617,0.032,0.251924933,Low
ASV19212,0.146754709,0.03,0.241025992,Low
ASV19203,0.12925341,0.03,0.241025992,Low
ASV19173,0.166083843,0.009,0.098064935,Low
ASV19149,0.245364724,0.001,0.018126543,Low
ASV19139,0.156315021,0.013,0.134181019,Low
ASV19068,0.164691365,0.005,0.060297741,Low
ASV19033,0.288438028,0.001,0.018126543,Low
ASV18929,0.279949979,0.001,0.018126543,Low
ASV18925,0.166989686,0.003,0.041652482,Low
ASV18902,0.162101968,0.017,0.165026446,Low
ASV18875,0.209474072,0.001,0.018126543,Low
ASV1886,0.178818031,0.017,0.165026446,Low
ASV18752,0.202892552,0.001,0.018126543,Low
ASV18733,0.13281782,0.035,0.267998696,Low
ASV18703,0.215131535,0.001,0.018126543,Low
ASV18586,0.155798187,0.004,0.051517544,Low
ASV18537,0.237020762,0.001,0.018126543,Low
ASV18485,0.284615616,0.001,0.018126543,Low
ASV18480,0.142766431,0.023,0.201911809,Low
ASV18396,0.157296752,0.005,0.060297741,Low
ASV1834,0.141648877,0.033,0.25738247,Low
ASV18327,0.219970028,0.001,0.018126543,Low
ASV18305,0.214212566,0.003,0.041652482,Low
ASV18242,0.14568578,0.031,0.245699055,Low
ASV18208,0.250252393,0.001,0.018126543,Low
ASV18123,0.140967665,0.026,0.220981187,Low
ASV18099,0.144620305,0.028,0.232265537,Low
ASV18044,0.162178559,0.022,0.201255452,Low
ASV17989,0.126246705,0.023,0.201911809,Low
ASV17985,0.207047328,0.006,0.069916667,Low
ASV17975,0.149157107,0.011,0.115983842,Low
ASV17965,0.18108794,0.001,0.018126543,Low
ASV17819,0.17699693,0.003,0.041652482,Low
ASV17765,0.141912642,0.026,0.220981187,Low
ASV17738,0.142971164,0.029,0.238205594,Low
ASV17709,0.142330446,0.029,0.238205594,Low
ASV17667,0.190071394,0.003,0.041652482,Low
ASV17640,0.160814232,0.004,0.051517544,Low
ASV17527,0.165789116,0.009,0.098064935,Low
ASV17510,0.179254398,0.001,0.018126543,Low
ASV17508,0.141251955,0.028,0.232265537,Low
ASV17451,0.21267682,0.002,0.031074074,Low
ASV17370,0.217756196,0.004,0.051517544,Low
ASV17363,0.146144641,0.011,0.115983842,Low
ASV17258,0.199655025,0.001,0.018126543,Low
ASV17211,0.125170415,0.028,0.232265537,Low
ASV17205,0.141251955,0.023,0.201911809,Low
ASV17197,0.117789997,0.045,0.324674447,Low
ASV17182,0.144106812,0.007,0.079059615,Low
ASV17136,0.144620305,0.008,0.088816635,Low
ASV17099,0.265509291,0.001,0.018126543,Low
ASV17077,0.209778631,0.001,0.018126543,Low
ASV17068,0.130375133,0.017,0.165026446,Low
ASV1703,0.220854336,0.001,0.018126543,Low
ASV170,0.18211021,0.002,0.031074074,Low
ASV16864,0.144949526,0.025,0.215285924,Low
ASV16794,0.168526029,0.012,0.124515901,Low
ASV16720,0.138238573,0.023,0.201911809,Low
ASV16695,0.140591927,0.008,0.088816635,Low
ASV1667,0.181299667,0.004,0.051517544,Low
ASV16662,0.138342893,0.007,0.079059615,Low
ASV16545,0.218753676,0.001,0.018126543,Low
ASV1652,0.123501504,0.041,0.30136796,Low
ASV16429,0.132931403,0.042,0.307563591,Low
ASV16402,0.156382273,0.007,0.079059615,Low
ASV16379,0.149363254,0.046,0.33107598,Low
ASV16303,0.14494419,0.023,0.201911809,Low
ASV16223,0.149368832,0.012,0.124515901,Low
ASV16154,0.115694151,0.026,0.220981187,Low
ASV16104,0.187938825,0.005,0.060297741,Low
ASV16083,0.249431629,0.001,0.018126543,Low
ASV16063,0.150408538,0.009,0.098064935,Low
ASV15972,0.21373762,0.001,0.018126543,Low
ASV15957,0.164739711,0.003,0.041652482,Low
ASV15937,0.122449318,0.031,0.245699055,Low
ASV15831,0.162069891,0.001,0.018126543,Low
ASV157,0.274686908,0.001,0.018126543,Low
ASV15649,0.243466762,0.001,0.018126543,Low
ASV15596,0.135803619,0.032,0.251924933,Low
ASV15560,0.20371559,0.002,0.031074074,Low
ASV15532,0.354806705,0.001,0.018126543,Low
ASV15429,0.113149928,0.031,0.245699055,Low
ASV15403,0.136629959,0.017,0.165026446,Low
ASV15396,0.244000061,0.001,0.018126543,Low
ASV15332,0.228812177,0.001,0.018126543,Low
ASV15311,0.230386659,0.001,0.018126543,Low
ASV15305,0.121135268,0.042,0.307563591,Low
ASV15277,0.133033156,0.037,0.280027062,Low
ASV15266,0.21240072,0.001,0.018126543,Low
ASV15237,0.171787296,0.002,0.031074074,Low
ASV1522,0.172968854,0.01,0.107761468,Low
ASV15196,0.203881387,0.006,0.069916667,Low
ASV15036,0.399000221,0.001,0.018126543,Low
ASV14963,0.126000504,0.034,0.263085639,Low
ASV14693,0.259575882,0.001,0.018126543,Low
ASV1466,0.142769241,0.021,0.196077901,Low
ASV14521,0.230301264,0.002,0.031074074,Low
ASV14520,0.171804595,0.016,0.15872973,Low
