Latitude	Longitude	Depth	temp	salinity	oxygen	nitrate	nh4	dic	pH_corrected	phosphate	log_temp	log_salinity	log_phosphate	log_nh4	log_nitrate
deg	deg	m	abund	abund	abund	abund	abund	abund	abund	abund	abund	abund	abund	abund	abund
28.172	-86.481	1	28.21	33.014	222.8	0	0.302085371	1988.637006	8.07	0.093851766	3.340030946	3.49723457	-2.264790724	-1.164478504	-4.605170186
28	-86.62	1	28.703	33.357	199.2	0.428198868	0.401803048	1980.081252	8.067	0.078209839	3.357349982	3.507567388	-2.428036769	-0.887210083	-0.825082435
27.5	-86.81	1	28.351	33.352	197.6	0	0.299198754	1981.172194	8.069	0.084088539	3.345014962	3.507417528	-2.363519036	-1.173770992	-4.605170186
27.011	-87	1	28.84	35.624	195.2	0.089752749	0.33657281	2017.713558	8.058	0.039022935	3.362109993	3.573300238	-3.015467029	-1.059662353	-2.305060665
30.111	-86.8	1	27.819	32.095	197.9	0.051840111	0.404939737	1921.174976	8.047	0.044993304	3.326078642	3.469011781	-2.900543847	-0.879621981	-2.78320308
29.758	-87.041	1	28.047	33.432	198.8	0.012702848	0.391834019	1980.025453	8.053	0.050811394	3.334238155	3.509812595	-2.799978106	-0.911716164	-3.7852649
29.463	-87.236	1	27.763	34.232	NA	0	0.365835519	2006.660574	8.058	0.039998017	3.324064326	3.533452961	-2.995771934	-0.978603681	-4.605170186
29.052	-87.521	1	27.732	34.097	200.7	0	0.237345706	2004.394994	8.068	0.054696953	3.32294751	3.529502642	-2.738041173	-1.396968301	-4.605170186
28.701	-87.76	1	28.318	33.566	196.8	0	0.350794417	1998.986806	8.065	0.044948588	3.343850715	3.513811526	-2.901357295	-1.019446965	-4.605170186
28.347	-88	1	27.727	30.548	199.7	0.136144892	0.339872501	1946.576739	8.087	0.134185973	3.322767262	3.419626517	-1.936651333	-1.050186474	-1.923156738
27.001	-89.999	1	28.981	36.144	195.1	0	0.256501595	2029.389718	8.03	0.025357572	3.366985437	3.587787593	-3.342242709	-1.32237505	-4.605170186
27.584	-89.999	1	28.511	36.192	195.8	0.003901763	0.369692052	2037.534745	8.045	0.026336901	3.350640658	3.589114366	-3.314921498	-0.968394744	-4.275739612
27.737	-89.999	1	28.542	36.285	195.6	0	0.36963389	2038.835938	8.036	0.013654022	3.351726986	3.591679991	-3.744222115	-0.968547938	-4.605170186
27.91	-90.001	1	28.495	36.284	196.9	0	0.34136011	2039.698992	8.037	0.040963213	3.35007951	3.591652438	-2.97665122	-1.045943627	-4.605170186
28.074	-89.998	1	28.497	36.166	196	0	0.292577243	2040.479355	8.043	0.033158754	3.350149671	3.588395916	-3.142870008	-1.195418685	-4.605170186
28.245	-89.986	1	28.398	36.066	195.5	0	0.250671719	2040.657908	8.059	0.002926129	3.346670796	3.585627824	-4.348504512	-1.344493445	-4.605170186
28.499	-90	1	27.832	33.528	196.7	0.017593546	0.291270935	2015.805652	8.051	0.038119351	3.326545672	3.512679124	-3.034070875	-1.199745303	-3.590173374
28.745	-89.992	1	26.638	27.63	241.2	0.041220223	0.147215082	1898.962933	8.206	0.156047987	3.282714101	3.319263999	-1.795478454	-1.850140462	-2.971620844
28.935	-90.123	1	26.467	25.551	228.9	0.646719332	0.260456874	1898.025381	8.152	0.310582536	3.276276432	3.241067752	-1.137615513	-1.307642624	-0.420498548
28.97	-90.21	1	26.197	25.7	232.8	0.246699334	0.459981229	1896.009591	8.154	0.269305249	3.266026551	3.246880021	-1.275450013	-0.755062523	-1.359849786
28.877	-90.446	1	26.511	25.938	244.5	0.012773301	0.197494885	1904.677085	NA	0.169983159	3.277936872	3.256094535	-1.714891994	-1.57264859	-3.782166438
28.827	-90.814	1	27.001	27.935	233.9	0	0.364970606	1910.649332	8.157	0.147165567	3.29624419	3.330238293	-1.850455462	-0.98090764	-4.605170186
27.92	-93.579	1	28.671	35.627	194.5	0.048787862	0.161975702	2042.730587	8.051	0.015612116	3.356234883	3.573384424	-3.664689758	-1.76040208	-2.833819874
27.87	-93.831	1	28.522	35.419	197.2	0.011710894	0.196157468	2046.190651	8.043	0.020494064	3.351026264	3.567530694	-3.490223237	-1.579114994	-3.829941117
27.691	-94.22	1	28.89	35.63	194.3	0.019515549	0.290781679	2059.144919	8.021	0.026345991	3.363841595	3.573468603	-3.31467137	-1.201370596	-3.52283807
27.333	-95	1	29.213	35.981	195.3	0.017558069	0.29263448	2045.713185	8.048	0.015607172	3.37495607	3.583268907	-3.66488281	-1.195229538	-3.591459901
27.5	-95.004	1	29.131	35.755	194.2	0.011706451	0.31217202	2040.00014	8.05	0.019510751	3.372146117	3.576969762	-3.523000641	-1.132669652	-3.830145782
28.085	-95.001	1	28.57	35.048	NA	0.028308618	0.681359153	2035.299952	8.044	0.030260937	3.352707173	3.557003833	-3.212373585	-0.369095832	-3.262080395
28.334	-94.999	1	28.297	33.913	197.3	0.022470489	0.799167822	2016.9989	8.04	0.089881956	3.343109124	3.52409325	-2.30376623	-0.21174894	-3.427423633
