Latitude	Longitude	Depth	Sagenista	Dinophyceae	Prymnesiophyceae	Syndiniales	Sar11	Sar86	Flavobacteriales	Prochlorococcus	Synechococcus
deg	deg	m	abund	abund	abund	abund	abund	abund	abund	abund	abund
26.059	-95.55	1	4.66581831	6.987759173	4.845662095	6.998627877	7.718273803	5.860295271	5.143731282	6.063957576	5.578618555
26.059	-95.121	1	4.465161529	6.943136692	4.818564915	6.991700112	7.721849364	5.835024846	5.236937419	6.279343561	5.666789061
26.058	-94.671	1	4.456185563	NA	NA	NA	NA	NA	5.265525074	NA	5.505896883
26.058	-94.197	1	4.39338334	7.028661893	4.955014739	6.91556462	7.692769197	5.836169159	5.304394636	6.368542107	5.573278763
26.058	-93.729	1	4.751446508	7.042897979	4.893296852	7.079013992	7.69859001	5.991038976	4.965486101	7.334954702	4.79368222
26.057	-93.262	1	4.657276786	7.100089483	4.623076357	6.810604837	7.625344342	5.770322939	5.084109898	6.023805006	5.508181583
24.999	-93.416	1	4.365976796	7.112917005	5.316118253	7.006348606	7.483347543	6.034819372	5.404812099	7.648838345	4.706183117
22.275	-97.719	1	4.590132949	7.084710467	4.661338539	6.635757759	7.645715123	5.738709545	5.464207	5.017043716	6.095735807
22.274	-97.639	1	4.516632	7.070256378	4.744580801	6.842837348	7.654378196	5.755757347	5.241389673	5.295526114	5.909921116
22.273	-97.546	1	4.712513846	6.973581133	4.945683454	6.908143472	7.679643873	5.775566887	5.228894235	5.767122054	5.872649304
22.275	-97.453	1	4.576680474	6.995572871	4.976498763	6.734630178	7.653345789	5.735656082	5.187708255	5.739127831	5.829772743
22.274	-97.361	1	4.556775642	7.050516413	5.055484724	6.776061561	7.63699778	5.814952043	5.174878182	6.33887547	5.541240637
22.274	-96.77	1	4.58768518	7.123593131	4.959339354	6.999474871	7.586294204	5.94025774	5.172668025	6.989716103	5.087484321
22.274	-96.18	1	4.416224667	7.110284099	4.668085198	6.886619895	7.601070648	5.801526235	5.167028662	6.043219835	5.441519028
22.276	-95.588	1	4.565341809	6.974300043	5.034674261	6.830130024	7.657169351	5.777266287	5.237321772	5.89983482	5.846691828
22.274	-95	1	4.636756358	7.014820766	4.913171088	6.834906836	7.618060047	5.764734606	5.216087646	5.841362359	5.701172396
20.729	-94.75	1	4.543741655	6.99883698	4.858462924	6.534701978	7.666491477	5.71012665	5.132322604	5.55306414	5.757097482
20.601	-94.29	1	4.68018568	6.936501704	5.196514159	6.709024801	7.762556153	5.79160503	4.975976606	6.503058279	5.549477173
20.02	-93.771	1	4.532052117	7.12028371	4.55036466	6.713436098	7.501777048	5.646686952	5.388451838	4.455602778	6.105157642
19.609	-93.5	1	4.648204029	NA	NA	NA	NA	NA	5.34821976	NA	6.144447324
19.17	-93.299	1	4.375889843	7.152481912	4.749760211	6.778768273	7.568323384	5.754789461	5.349637791	5.198984948	5.877113963
18.836	-93.066	1	4.577064684	7.118123616	4.85620055	6.311578948	7.696915071	5.733744505	5.711130645	3.19088555	7.051106374
